Variables,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
"Consumption, ann. QQ % [dl_cons]",13.314,16.166,15.234,15.092,15.723,14.899,15.386,15.441
"Investment, ann. QQ % [dl_inv]",57.789,60.781,62.927,64.307,67.389,70.048,71.751,75.691
"Gov. demand, ann. QQ % [dl_gdem]",25.327,27.953,28.531,28.756,29.663,29.468,30.278,30.648
"Export, ann. QQ % [dl_exp]",36.827,42.746,43.268,41.139,43.831,40.93,42.115,42.014
"Import, ann. QQ % [dl_imp]",19.214,25.872,25.24,26.085,26.075,26.44,27.11,28.095
"GDP, ann. QQ % [dl_y]",10.451,7.951,8.393,7.812,8.761,8.238,8.89,8.798
"Agric. GDP, ann.QQ % [dl_y_agr]",13.693,7.695,5.559,4.75,4.691,4.817,5,5.191
"Core CPI, ann. QQ % [dl_cpi_core]",2.479,2.536,3.103,3.19,3.41,3.692,3.826,3.828
"Food CPI, ann. QQ % [dl_cpi_food]",14.405,15.761,16.181,15.969,16.507,17.946,18.222,19.516
"Energy CPI, ann. QQ % [dl_cpi_ener]",7.025,7.427,7.563,7.938,8.401,8.783,9.104,9.326
"Policy rate (IB rate used), % [i]",0.498,0.863,1.158,1.357,1.486,1.545,1.539,1.553
"Exchang. rate, 100*log [l_s]",0.603,1.109,1.42,1.534,1.637,1.699,1.853,1.964
"Exchang. rate, ann. QQ % [dl_s]",2.413,2.36,2.422,2.348,2.445,2.463,2.486,2.488
"Budget deficit, % of GDP [def_y]",2.414,2.572,2.479,2.519,2.489,2.405,2.475,2.627
"Fiscal grants, % of GDP [grants_y]",1.131,1.151,1.093,1.073,1.027,0.992,0.989,1.007
"Real money, ann. QQ % [dl_rmd]",6.069,6.895,7.579,7.769,7.404,7.389,7.208,7.051
"Consumption gap, % [l_cons_gap]",3.329,3.529,3.898,3.652,3.502,3.472,3.511,3.648
"Investment gap, % [l_inv_gap]",14.447,16.619,17.163,18.051,17.245,16.734,17.338,17.336
"Gov. demand gap, % [l_gdem_gap]",6.312,7.391,7.101,7.511,7.453,7.523,7.968,8.464
"Export gap, % [l_exp_gap]",9.207,9.288,10.788,11.581,12.492,12.425,12.247,12.298
"Import gap, % [l_imp_gap]",4.803,5.238,5.431,5.812,5.726,6.131,6.411,6.421
"Output gap, % [l_y_gap]",2.572,2.712,3.095,3.454,3.451,3.563,3.564,3.534
"Agric. output gap, % [l_y_agr_gap]",2.017,1.588,1.574,1.567,1.533,1.531,1.562,1.625
"Real exchang. rate gap, % [l_z_gap]",0.981,1.682,2.289,2.771,3.146,3.484,3.329,3.353
"Exptd. RIR (lending) gap, 4-Q ahead av., % [r4_gap]",1.221,1.282,1.366,1.285,1.376,1.306,1.347,1.196
"Cyc. govt. demand (G&S), % GDP [gdem_y_cyc]",0.059,0.062,0.071,0.079,0.079,0.082,0.082,0.081
"Discr. govt. demand (G&S), % GDP [gdem_y_discr]",1.61,2.095,2.135,2.303,2.287,2.304,2.396,2.497
"Fiscal impulse, % of GDP [fisc_imp]",2.383,2.506,2.391,2.401,2.393,2.3,2.374,2.526
"Lending premium gap, % [prem_d_gap]",0.346,0.49,0.567,0.686,0.73,0.748,0.755,0.796
"Policy rate tnd (IB rate used), % [i_tnd]",0.122,0.123,0.125,0.128,0.131,0.133,0.133,0.133
"RIR (policy) trend, % [r_tnd]",0.122,0.123,0.125,0.128,0.131,0.133,0.133,0.133
"Inflation target, YoY % [d4l_cpi_tar]",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Risk premium, % [prem]",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Exp. RER trend., ann. QQ % [e_dl_z_tnd]",0.122,0.123,0.125,0.128,0.131,0.133,0.133,0.133
"GDP, YoY % [d4l_y]",2.613,2.804,3.192,3.558,4.204,3.91,4.001,4.027
