Variables,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
"Consumption, ann. QQ % [dl_cons]",0.515,0.848,0.597,0.662,0.828,0.622,0.967,0.528
"Investment, ann. QQ % [dl_inv]",0.578,0.654,0.68,0.55,0.66,0.805,0.591,0.601
"Gov. demand, ann. QQ % [dl_gdem]",0.648,0.677,0.811,0.625,1.002,0.774,0.761,0.848
"Export, ann. QQ % [dl_exp]",0.491,0.739,0.777,0.598,0.692,0.612,0.588,0.603
"Import, ann. QQ % [dl_imp]",0.394,0.765,0.641,0.635,0.692,0.587,0.614,0.612
"GDP, ann. QQ % [dl_y]",0.727,0.693,0.64,0.554,0.734,0.604,0.647,0.607
"Agric. GDP, ann.QQ % [dl_y_agr]",2.152,1.275,0.855,0.814,0.919,0.943,1.019,0.783
"Core CPI, ann. QQ % [dl_cpi_core]",0.861,0.643,0.651,0.56,0.562,0.575,0.627,0.639
"Food CPI, ann. QQ % [dl_cpi_food]",0.837,0.737,0.742,0.584,0.569,0.707,0.63,0.662
"Energy CPI, ann. QQ % [dl_cpi_ener]",0.84,0.723,0.629,0.539,0.684,0.78,0.819,1.124
"Policy rate (IB rate used), % [i]",2.269,2.472,2.372,2.271,2.286,2.224,2.115,1.996
"Exchang. rate, 100*log [l_s]",0.514,0.504,0.48,0.415,0.345,0.289,0.258,0.244
"Exchang. rate, ann. QQ % [dl_s]",1.37,0.882,0.747,0.8,0.843,0.8,0.752,0.785
"Budget deficit, % of GDP [def_y]",0.765,0.757,0.893,0.699,0.728,0.783,0.721,0.672
"Fiscal grants, % of GDP [grants_y]",0.81,0.731,0.736,0.722,0.769,0.767,0.75,0.643
"Real money, ann. QQ % [dl_rmd]",0.922,0.888,0.829,0.823,0.838,0.769,0.726,0.732
"Consumption gap, % [l_cons_gap]",0.881,0.854,0.822,0.816,0.86,0.775,0.765,0.599
"Investment gap, % [l_inv_gap]",0.868,0.769,0.689,0.613,0.628,0.669,0.599,0.628
"Gov. demand gap, % [l_gdem_gap]",0.956,0.854,0.868,0.791,0.912,0.849,0.819,0.854
"Export gap, % [l_exp_gap]",0.853,0.812,0.81,0.709,0.7,0.617,0.56,0.547
"Import gap, % [l_imp_gap]",0.692,0.719,0.651,0.654,0.619,0.578,0.574,0.591
"Output gap, % [l_y_gap]",1.098,0.877,0.759,0.705,0.674,0.633,0.599,0.57
"Agric. output gap, % [l_y_agr_gap]",1.692,0.951,0.786,0.71,0.749,0.719,0.72,0.721
"Real exchang. rate gap, % [l_z_gap]",0.649,0.609,0.614,0.602,0.6,0.61,0.643,0.708
"Exptd. RIR (lending) gap, 4-Q ahead av., % [r4_gap]",0.936,0.822,0.75,0.674,0.744,0.608,0.575,0.497
"Cyc. govt. demand (G&S), % GDP [gdem_y_cyc]",1.098,0.877,0.759,0.705,0.674,0.633,0.599,0.57
"Discr. govt. demand (G&S), % GDP [gdem_y_discr]",0.914,0.846,0.854,0.816,0.906,0.895,0.779,0.704
"Fiscal impulse, % of GDP [fisc_imp]",0.752,0.748,0.899,0.696,0.728,0.783,0.744,0.702
"Lending premium gap, % [prem_d_gap]",1.034,1.046,1.001,0.966,0.947,0.957,0.962,0.983
"Policy rate tnd (IB rate used), % [i_tnd]",0.676,0.362,0.261,0.21,0.176,0.152,0.133,0.117
"RIR (policy) trend, % [r_tnd]",0.94,0.492,0.344,0.271,0.227,0.197,0.174,0.155
"Inflation target, YoY % [d4l_cpi_tar]",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Risk premium, % [prem]",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Exp. RER trend., ann. QQ % [e_dl_z_tnd]",2.706,1.411,0.978,0.757,0.625,0.541,0.48,0.428
"GDP, YoY % [d4l_y]",0.684,0.543,0.463,0.424,0.599,0.564,0.607,0.597
