Row,x1q,x2q,x3q,x4q,x5q,x6q,x7q,x8q
"Consumption, ann. QQ % [dl_cons]",17.759,20.534,18.935,19.477,19.81,19.526,20.177,20.074
"Investment, ann. QQ % [dl_inv]",79.942,88.143,91.292,93.317,98.258,100.028,100.664,103.298
"Gov. demand, ann. QQ % [dl_gdem]",38.064,38.638,40.052,40.482,42.302,41.943,42.509,43.195
"Export, ann. QQ % [dl_exp]",53.443,64.201,63.238,62.391,64.749,63.27,64.758,65.837
"Import, ann. QQ % [dl_imp]",28.793,41.785,41.845,42.622,43.468,43.76,44.943,45.774
"GDP, ann. QQ % [dl_y]",15.181,13.206,13.443,13.362,14.309,14.031,14.581,14.752
"Agric. GDP, ann.QQ % [dl_y_agr]",15.068,9.174,7.141,6.259,6.153,6.212,6.33,6.472
"Core CPI, ann. QQ % [dl_cpi_core]",3.425,3.448,4.262,4.324,4.502,4.702,4.913,4.885
"Food CPI, ann. QQ % [dl_cpi_food]",16.774,18.222,18.468,18.237,18.999,20.775,21.239,22.39
"Energy CPI, ann. QQ % [dl_cpi_ener]",8.689,9.244,9.418,9.635,10.308,10.662,10.959,11.257
"Policy rate (IB rate used), % [i]",0.667,1.159,1.515,1.75,1.884,1.94,1.908,1.89
"Exchang. rate, 100*log [l_s]",0.827,1.439,1.853,2.043,2.086,2.094,2.188,2.368
"Exchang. rate, ann. QQ % [dl_s]",3.308,3.115,3.085,2.964,3.168,3.283,3.311,3.387
"Budget deficit, % of GDP [def_y]",2.928,3.207,3.272,3.302,3.267,3.236,3.36,3.471
"Fiscal grants, % of GDP [grants_y]",1.435,1.413,1.355,1.325,1.295,1.258,1.265,1.288
"Real money, ann. QQ % [dl_rmd]",7.906,8.893,9.305,9.735,9.467,9.356,9.057,8.889
"Consumption gap, % [l_cons_gap]",4.44,4.524,4.884,4.808,4.641,4.736,4.635,4.846
"Investment gap, % [l_inv_gap]",19.985,22.928,23.547,24.308,23.362,22.787,23.296,23.478
"Gov. demand gap, % [l_gdem_gap]",9.517,10.127,9.335,10.013,9.349,9.517,9.939,10.315
"Export gap, % [l_exp_gap]",13.361,12.966,13.626,14.604,14.937,14.916,14.773,14.845
"Import gap, % [l_imp_gap]",7.198,7.179,7.536,8.103,7.728,8.117,8.115,8.22
"Output gap, % [l_y_gap]",3.764,3.927,4.104,4.415,4.295,4.386,4.383,4.374
"Agric. output gap, % [l_y_agr_gap]",2.319,1.9,1.913,1.913,1.897,1.912,1.945,1.987
"Real exchang. rate gap, % [l_z_gap]",1.375,2.351,3.306,4.014,4.482,4.607,4.524,4.361
"Exptd. RIR (lending) gap, 4-Q ahead av., % [r4_gap]",1.469,1.514,1.573,1.558,1.682,1.63,1.601,1.479
"Cyc. govt. demand (G&S), % GDP [gdem_y_cyc]",0.087,0.09,0.094,0.102,0.099,0.101,0.101,0.101
"Discr. govt. demand (G&S), % GDP [gdem_y_discr]",2.291,2.686,2.644,2.78,2.703,2.719,2.836,2.93
"Fiscal impulse, % of GDP [fisc_imp]",2.907,3.126,3.177,3.211,3.167,3.141,3.256,3.369
"Lending premium gap, % [prem_d_gap]",0.428,0.6,0.696,0.81,0.85,0.85,0.854,0.871
"Policy rate tnd (IB rate used), % [i_tnd]",0.131,0.132,0.133,0.136,0.138,0.14,0.14,0.141
"RIR (policy) trend, % [r_tnd]",0.131,0.132,0.133,0.136,0.138,0.14,0.14,0.141
"Inflation target, YoY % [d4l_cpi_tar]",0,0,0,0,0,0,0,0
"Risk premium, % [prem]",0,0,0,0,0,0,0,0
"Exp. RER trend., ann. QQ % [e_dl_z_tnd]",0.131,0.132,0.133,0.136,0.138,0.14,0.14,0.141
"GDP, YoY % [d4l_y]",3.795,3.978,4.164,4.488,5.843,5.701,5.963,6.16
